Time,	,Position,	,AnalogVolt,	,Error
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0.0077509375,	,0,	,0.0,	,0
0.0077509375,	,0,	,0.0,	,0
0.0077509375,	,0,	,0.0,	,-1
0.0077509375,	,0,	,0.0,	,-1
0.0077509375,	,0,	,0.033189948839541746,	,-1
0.0077509375,	,0,	,0.033189948839541746,	,-1
0.0077509375,	,0,	,0.033189948839541746,	,-1
0.01561,	,0,	,0.033189948839541746,	,-1
0.01561,	,0,	,0.033189948839541746,	,-1
0.01561,	,0,	,0.033189948839541746,	,-1
0.01561,	,0,	,0.033189948839541746,	,-1
0.01561,	,0,	,0.033189948839541746,	,-2
0.01561,	,0,	,0.033189948839541746,	,-2
0.01561,	,0,	,0.033189948839541746,	,-2
0.01561,	,0,	,0.04999842187349471,	,-2
0.02357125,	,0,	,0.04999842187349471,	,-2
0.02357125,	,0,	,0.04999842187349471,	,-2
0.02357125,	,0,	,0.04999842187349471,	,-2
0.02357125,	,0,	,0.04999842187349471,	,-2
0.02357125,	,0,	,0.04999842187349471,	,-2
0.02357125,	,0,	,0.04999842187349471,	,-3
0.02357125,	,0,	,0.04999842187349471,	,-3
0.02357125,	,0,	,0.04999842187349471,	,-3
0.02357125,	,0,	,0.04999842187349471,	,-3
0.0317721875,	,0,	,0.04999842187349471,	,-3
0.0317721875,	,0,	,0.06318417016712774,	,-3
0.0317721875,	,0,	,0.06318417016712774,	,-3
0.0317721875,	,0,	,0.06318417016712774,	,-3
0.0317721875,	,0,	,0.06318417016712774,	,-3
0.0317721875,	,0,	,0.06318417016712774,	,-4
0.0317721875,	,0,	,0.06318417016712774,	,-4
0.03962625,	,0,	,0.06318417016712774,	,-4
0.03962625,	,0,	,0.06318417016712774,	,-4
0.03962625,	,0,	,0.06318417016712774,	,-4
0.03962625,	,0,	,0.06318417016712774,	,-4
0.03962625,	,0,	,0.06318417016712774,	,-4
0.03962625,	,0,	,0.07818461012570012,	,-4
0.03962625,	,0,	,0.07818461012570012,	,-4
0.03962625,	,0,	,0.07818461012570012,	,-5
0.0476,	,0,	,0.07818461012570012,	,-5
0.0476,	,0,	,0.07818461012570012,	,-5
0.0476,	,0,	,0.07818461012570012,	,-5
0.0476,	,0,	,0.07818461012570012,	,-5
0.0476,	,0,	,0.07818461012570012,	,-5
0.0476,	,0,	,0.07818461012570012,	,-5
0.0476,	,0,	,0.07818461012570012,	,-5
0.0476,	,0,	,0.07818461012570012,	,-5
0.0476,	,0,	,0.12637195374370327,	,-6
0.0557040625,	,0,	,0.12637195374370327,	,-6
0.0557040625,	,0,	,0.12637195374370327,	,-6
0.0557040625,	,0,	,0.12637195374370327,	,-6
0.0557040625,	,0,	,0.12637195374370327,	,-6
0.0557040625,	,0,	,0.12637195374370327,	,-6
0.0557040625,	,0,	,0.12637195374370327,	,-6
0.0557040625,	,0,	,0.12637195374370327,	,-6
0.063523125,	,1,	,0.12637195374370327,	,-6
0.063523125,	,1,	,0.12637195374370327,	,-6
0.063523125,	,1,	,0.09000233996391296,	,-6
0.063523125,	,1,	,0.09000233996391296,	,-6
0.063523125,	,1,	,0.09000233996391296,	,-6
0.063523125,	,1,	,0.09000233996391296,	,-6
0.063523125,	,1,	,0.09000233996391296,	,-6
0.063523125,	,1,	,0.09000233996391296,	,-6
0.0715490625,	,1,	,0.09000233996391296,	,-6
0.0715490625,	,1,	,0.09000233996391296,	,-6
0.0715490625,	,1,	,0.09000233996391296,	,-7
0.0715490625,	,1,	,0.09000233996391296,	,-7
0.0715490625,	,1,	,0.09000233996391296,	,-7
0.0715490625,	,1,	,0.12319018805185182,	,-7
0.0715490625,	,1,	,0.12319018805185182,	,-7
0.0715490625,	,1,	,0.12319018805185182,	,-7
0.079551875,	,1,	,0.12319018805185182,	,-7
0.079551875,	,1,	,0.12319018805185182,	,-7
0.079551875,	,1,	,0.12319018805185182,	,-7
0.079551875,	,1,	,0.12319018805185182,	,-8
0.079551875,	,1,	,0.12319018805185182,	,-8
0.079551875,	,1,	,0.12319018805185182,	,-8
0.079551875,	,1,	,0.12319018805185182,	,-8
0.079551875,	,1,	,0.14000154500316547,	,-8
0.079551875,	,1,	,0.14000154500316547,	,-8
0.08764625,	,1,	,0.14000154500316547,	,-8
0.08764625,	,1,	,0.14000154500316547,	,-8
0.08764625,	,1,	,0.14000154500316547,	,-8
0.08764625,	,1,	,0.14000154500316547,	,-9
0.08764625,	,1,	,0.14000154500316547,	,-9
0.08764625,	,1,	,0.14000154500316547,	,-9
0.08764625,	,1,	,0.14000154500316547,	,-9
0.095548125,	,1,	,0.14000154500316547,	,-9
0.095548125,	,1,	,0.14000154500316547,	,-9
0.095548125,	,1,	,0.1531884299704229,	,-9
0.095548125,	,1,	,0.1531884299704229,	,-9
0.095548125,	,1,	,0.1531884299704229,	,-9
0.095548125,	,1,	,0.1531884299704229,	,-10
0.095548125,	,1,	,0.1531884299704229,	,-10
0.095548125,	,1,	,0.1531884299704229,	,-10
0.095548125,	,1,	,0.1531884299704229,	,-10
0.10354125,	,1,	,0.1531884299704229,	,-10
0.10354125,	,1,	,0.1531884299704229,	,-10
0.10354125,	,1,	,0.1531884299704229,	,-10
0.10354125,	,1,	,0.1531884299704229,	,-10
0.10354125,	,1,	,0.1681926834591395,	,-10
0.10354125,	,1,	,0.1681926834591395,	,-10
0.10354125,	,1,	,0.1681926834591395,	,-11
0.10354125,	,1,	,0.1681926834591395,	,-11
0.1114759375,	,1,	,0.1681926834591395,	,-11
