Time,	,Position,	,AnalogVolt,	,Error
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,-1
0.0074959375,	,0,	,0.0,	,-1
0.0074959375,	,0,	,0.0,	,-1
0.0074959375,	,0,	,0.0,	,-1
0.0074959375,	,0,	,0.0,	,-1
0.0074959375,	,0,	,0.0,	,-2
0.0074959375,	,0,	,0.056538571570979454,	,-2
0.0074959375,	,0,	,0.056538571570979454,	,-2
0.0074959375,	,0,	,0.056538571570979454,	,-2
0.0154528125,	,0,	,0.056538571570979454,	,-2
0.0154528125,	,0,	,0.056538571570979454,	,-3
0.0154528125,	,0,	,0.056538571570979454,	,-3
0.0154528125,	,0,	,0.056538571570979454,	,-3
0.0154528125,	,0,	,0.056538571570979454,	,-3
0.0154528125,	,0,	,0.056538571570979454,	,-3
0.0154528125,	,0,	,0.056538571570979454,	,-4
0.0154528125,	,0,	,0.08004956436469995,	,-4
0.023456875,	,0,	,0.08004956436469995,	,-4
0.023456875,	,0,	,0.08004956436469995,	,-4
0.023456875,	,0,	,0.08004956436469995,	,-4
0.023456875,	,0,	,0.08004956436469995,	,-5
0.023456875,	,0,	,0.08004956436469995,	,-5
0.023456875,	,0,	,0.08004956436469995,	,-5
0.023456875,	,0,	,0.08004956436469995,	,-5
0.023456875,	,0,	,0.08004956436469995,	,-5
0.0314578125,	,0,	,0.08004956436469995,	,-6
0.0314578125,	,0,	,0.08004956436469995,	,-6
0.0314578125,	,0,	,0.09649182716682125,	,-6
0.0314578125,	,0,	,0.09649182716682125,	,-6
0.0314578125,	,0,	,0.09649182716682125,	,-6
0.0314578125,	,0,	,0.09649182716682125,	,-7
0.0314578125,	,0,	,0.09649182716682125,	,-7
0.0314578125,	,0,	,0.09649182716682125,	,-7
0.0394528125,	,0,	,0.09649182716682125,	,-7
0.0394528125,	,0,	,0.09649182716682125,	,-7
0.0394528125,	,0,	,0.09649182716682125,	,-8
0.0394528125,	,0,	,0.09649182716682125,	,-8
0.0394528125,	,0,	,0.09649182716682125,	,-8
0.0394528125,	,0,	,0.11658297184403635,	,-8
0.0394528125,	,0,	,0.11658297184403635,	,-8
0.0394528125,	,0,	,0.11658297184403635,	,-9
0.047276875,	,0,	,0.11658297184403635,	,-9
0.047276875,	,0,	,0.11658297184403635,	,-9
0.047276875,	,0,	,0.11658297184403635,	,-9
0.047276875,	,0,	,0.11658297184403635,	,-9
0.047276875,	,0,	,0.11658297184403635,	,-10
0.047276875,	,0,	,0.11658297184403635,	,-10
0.047276875,	,0,	,0.11658297184403635,	,-10
0.047276875,	,0,	,0.11658297184403635,	,-10
0.0553228125,	,0,	,0.13670868682206974,	,-10
0.0553228125,	,0,	,0.13670868682206974,	,-11
0.0553228125,	,0,	,0.13670868682206974,	,-11
0.0553228125,	,0,	,0.13670868682206974,	,-11
0.0553228125,	,0,	,0.13670868682206974,	,-11
0.0553228125,	,0,	,0.13670868682206974,	,-12
0.0553228125,	,0,	,0.13670868682206974,	,-12
0.0553228125,	,0,	,0.13670868682206974,	,-12
0.06334,	,0,	,0.13670868682206974,	,-12
0.06334,	,0,	,0.13670868682206974,	,-12
0.06334,	,0,	,0.1904145440796816,	,-13
0.06334,	,0,	,0.1904145440796816,	,-13
0.06334,	,0,	,0.1904145440796816,	,-13
0.06334,	,0,	,0.1904145440796816,	,-13
0.06334,	,0,	,0.1904145440796816,	,-13
0.06334,	,0,	,0.1904145440796816,	,-14
0.071495,	,0,	,0.1904145440796816,	,-14
0.071495,	,0,	,0.1904145440796816,	,-14
0.071495,	,0,	,0.1904145440796816,	,-14
0.071495,	,0,	,0.1904145440796816,	,-14
0.071495,	,0,	,0.19059838176762733,	,-15
0.071495,	,0,	,0.19059838176762733,	,-15
0.071495,	,0,	,0.19059838176762733,	,-15
0.071495,	,0,	,0.19059838176762733,	,-15
0.0793678125,	,0,	,0.19059838176762733,	,-15
0.0793678125,	,0,	,0.19059838176762733,	,-16
0.0793678125,	,0,	,0.19059838176762733,	,-16
0.0793678125,	,0,	,0.19059838176762733,	,-16
0.0793678125,	,0,	,0.19059838176762733,	,-16
0.0793678125,	,0,	,0.19059838176762733,	,-16
0.0793678125,	,0,	,0.2071827722250164,	,-17
0.0874028125,	,0,	,0.2071827722250164,	,-17
0.0874028125,	,0,	,0.2071827722250164,	,-17
0.0874028125,	,0,	,0.2071827722250164,	,-17
0.0874028125,	,0,	,0.2071827722250164,	,-17
0.0874028125,	,0,	,0.2071827722250164,	,-18
0.0874028125,	,0,	,0.2071827722250164,	,-18
0.0874028125,	,0,	,0.2071827722250164,	,-18
0.0874028125,	,0,	,0.2071827722250164,	,-18
0.0954,	,0,	,0.2071827722250164,	,-18
0.0954,	,0,	,0.23097053933456385,	,-19
0.0954,	,0,	,0.23097053933456385,	,-19
0.0954,	,0,	,0.23097053933456385,	,-19
0.0954,	,0,	,0.23097053933456385,	,-19
0.0954,	,0,	,0.23097053933456385,	,-19
0.0954,	,0,	,0.23097053933456385,	,-20
0.0954,	,0,	,0.23097053933456385,	,-20
0.1034709375,	,0,	,0.23097053933456385,	,-20
0.1034709375,	,0,	,0.23097053933456385,	,-20
0.1034709375,	,0,	,0.23097053933456385,	,-20
0.1034709375,	,0,	,0.23097053933456385,	,-21
0.1034709375,	,0,	,0.24756449202726477,	,-21
0.1034709375,	,0,	,0.24756449202726477,	,-21
0.1034709375,	,0,	,0.24756449202726477,	,-21
0.1034709375,	,0,	,0.24756449202726477,	,-21
0.111431875,	,0,	,0.24756449202726477,	,-22
0.111431875,	,0,	,0.24756449202726477,	,-22
