Time,	,Position,	,Error
-82.0,	,0,	,0
0.0,	,0,	,0
99.0,	,0,	,0
203.0,	,0,	,0
292.0,	,0,	,0
424.0,	,0,	,0
488.0,	,0,	,0
618.0,	,0,	,0
696.0,	,0,	,0
819.0,	,0,	,-1
906.0,	,0,	,-1
1017.0,	,0,	,-1
1089.0,	,0,	,-1
1225.0,	,0,	,-1
1299.0,	,0,	,-1
1381.0,	,0,	,-1
1484.0,	,0,	,-1
1596.0,	,0,	,-1
1701.0,	,0,	,-2
1796.0,	,0,	,-2
1895.0,	,0,	,-2
1995.0,	,0,	,-2
2097.0,	,0,	,-2
2193.0,	,0,	,-2
2289.0,	,0,	,-2
2401.0,	,0,	,-2
2493.0,	,0,	,-2
2600.0,	,0,	,-3
2692.0,	,0,	,-3
2801.0,	,0,	,-3
2888.0,	,0,	,-3
2990.0,	,0,	,-3
3083.0,	,0,	,-3
3219.0,	,0,	,-3
3295.0,	,0,	,-3
3415.0,	,0,	,-3
3499.0,	,0,	,-4
3614.0,	,0,	,-4
3789.0,	,0,	,-4
3907.0,	,0,	,-4
3997.0,	,0,	,-4
4118.0,	,0,	,-4
4201.0,	,0,	,-4
4292.0,	,0,	,-4
4392.0,	,0,	,-4
4590.0,	,0,	,-5
4689.0,	,0,	,-5
4801.0,	,0,	,-5
4900.0,	,0,	,-5
4988.0,	,0,	,-5
5101.0,	,0,	,-5
5214.0,	,0,	,-5
5303.0,	,0,	,-5
5406.0,	,0,	,-5
5500.0,	,0,	,-6
5599.0,	,0,	,-6
5703.0,	,0,	,-6
5789.0,	,0,	,-6
5885.0,	,0,	,-6
5993.0,	,0,	,-6
6183.0,	,0,	,-6
6281.0,	,0,	,-6
6377.0,	,0,	,-6
6481.0,	,0,	,-7
6587.0,	,0,	,-7
6671.0,	,0,	,-7
6788.0,	,0,	,-7
6874.0,	,0,	,-7
6982.0,	,0,	,-7
7073.0,	,0,	,-7
7192.0,	,0,	,-7
7303.0,	,0,	,-7
7390.0,	,0,	,-8
7488.0,	,0,	,-8
7592.0,	,0,	,-8
7674.0,	,0,	,-8
7777.0,	,0,	,-8
7875.0,	,0,	,-8
7989.0,	,0,	,-8
8097.0,	,0,	,-8
8185.0,	,0,	,-8
8286.0,	,0,	,-9
8388.0,	,0,	,-9
8471.0,	,0,	,-9
8571.0,	,0,	,-9
8690.0,	,0,	,-9
8792.0,	,0,	,-9
8900.0,	,0,	,-9
8987.0,	,0,	,-9
9079.0,	,0,	,-9
9169.0,	,0,	,-10
9268.0,	,1,	,-10
9372.0,	,1,	,-9
9471.0,	,1,	,-9
9572.0,	,1,	,-9
9676.0,	,1,	,-9
9775.0,	,1,	,-9
9874.0,	,1,	,-9
9992.0,	,1,	,-9
10073.0,	,1,	,-10
10173.0,	,1,	,-10
10269.0,	,1,	,-10
10382.0,	,1,	,-10
10474.0,	,1,	,-10
10579.0,	,1,	,-10
10673.0,	,1,	,-10
10771.0,	,1,	,-10
10877.0,	,1,	,-10
10968.0,	,1,	,-10
11076.0,	,1,	,-11
11165.0,	,1,	,-11
11292.0,	,1,	,-11
11395.0,	,1,	,-11
11480.0,	,1,	,-11
11570.0,	,1,	,-11
11669.0,	,1,	,-11
11772.0,	,1,	,-11
11885.0,	,1,	,-11
11970.0,	,1,	,-12
12070.0,	,1,	,-12
12166.0,	,1,	,-12
12268.0,	,1,	,-12
12378.0,	,1,	,-12
12470.0,	,2,	,-12
12565.0,	,2,	,-11
12671.0,	,2,	,-11
12773.0,	,2,	,-11
12879.0,	,2,	,-11
12976.0,	,2,	,-12
13081.0,	,2,	,-12
13178.0,	,2,	,-12
13274.0,	,2,	,-12
13365.0,	,2,	,-12
13465.0,	,2,	,-12
13569.0,	,2,	,-12
13671.0,	,2,	,-12
13778.0,	,2,	,-12
13866.0,	,2,	,-13
13970.0,	,2,	,-13
14072.0,	,3,	,-12
14171.0,	,3,	,-12
14269.0,	,3,	,-12
14369.0,	,3,	,-12
14474.0,	,3,	,-12
14571.0,	,3,	,-12
14685.0,	,3,	,-12
14808.0,	,4,	,-12
