Time,	,Position,	,AnalogVolt,	,Error
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,0
0,	,0,	,0.0,	,-1
0.0073390625,	,0,	,0.0,	,-1
0.0073390625,	,0,	,0.0,	,-1
0.0073390625,	,0,	,0.0,	,-1
0.0073390625,	,0,	,0.0,	,-2
0.0073390625,	,0,	,0.0,	,-2
0.0073390625,	,0,	,0.19313642719366952,	,-2
0.0073390625,	,0,	,0.19313642719366952,	,-2
0.0073390625,	,0,	,0.19313642719366952,	,-2
0.0152528125,	,0,	,0.19313642719366952,	,-3
0.0152528125,	,0,	,0.19313642719366952,	,-3
0.0152528125,	,0,	,0.19313642719366952,	,-3
0.0152528125,	,0,	,0.19313642719366952,	,-3
0.0152528125,	,0,	,0.19313642719366952,	,-4
0.0152528125,	,0,	,0.19313642719366952,	,-4
0.0152528125,	,0,	,0.19313642719366952,	,-4
0.0152528125,	,0,	,0.19313642719366952,	,-4
0.023288125,	,0,	,0.20255687238570524,	,-4
0.023288125,	,0,	,0.20255687238570524,	,-5
0.023288125,	,0,	,0.20255687238570524,	,-5
0.023288125,	,0,	,0.20255687238570524,	,-5
0.023288125,	,0,	,0.20255687238570524,	,-5
0.023288125,	,0,	,0.20255687238570524,	,-6
0.023288125,	,0,	,0.20255687238570524,	,-6
0.0313959375,	,0,	,0.20255687238570524,	,-6
0.0313959375,	,0,	,0.20255687238570524,	,-6
0.0313959375,	,0,	,0.23113989279118377,	,-6
0.0313959375,	,0,	,0.23113989279118377,	,-7
0.0313959375,	,0,	,0.23113989279118377,	,-7
0.0313959375,	,0,	,0.23113989279118377,	,-7
0.0313959375,	,0,	,0.23113989279118377,	,-7
0.0313959375,	,0,	,0.23113989279118377,	,-8
0.039335,	,0,	,0.23113989279118377,	,-8
0.039335,	,0,	,0.23113989279118377,	,-8
0.039335,	,0,	,0.23113989279118377,	,-8
0.039335,	,0,	,0.23113989279118377,	,-8
0.039335,	,0,	,0.3468883895216258,	,-9
0.039335,	,0,	,0.3468883895216258,	,-9
0.039335,	,0,	,0.3468883895216258,	,-9
0.039335,	,0,	,0.3468883895216258,	,-9
0.047348125,	,0,	,0.3468883895216258,	,-10
0.047348125,	,0,	,0.3468883895216258,	,-10
0.047348125,	,0,	,0.3468883895216258,	,-10
0.047348125,	,0,	,0.3468883895216258,	,-10
0.047348125,	,0,	,0.3468883895216258,	,-10
0.047348125,	,0,	,0.25816030964380043,	,-11
0.047348125,	,0,	,0.25816030964380043,	,-11
0.055331875,	,0,	,0.25816030964380043,	,-11
0.055331875,	,0,	,0.25816030964380043,	,-11
0.055331875,	,0,	,0.25816030964380043,	,-11
0.055331875,	,0,	,0.25816030964380043,	,-12
0.055331875,	,0,	,0.25816030964380043,	,-12
0.055331875,	,0,	,0.25816030964380043,	,-12
0.055331875,	,0,	,0.25816030964380043,	,-12
0.055331875,	,0,	,0.25816030964380043,	,-13
0.063328125,	,0,	,0.25816030964380043,	,-13
0.063328125,	,0,	,0.2519212115272533,	,-13
0.063328125,	,0,	,0.2519212115272533,	,-13
0.063328125,	,0,	,0.2519212115272533,	,-13
0.063328125,	,0,	,0.2519212115272533,	,-14
0.063328125,	,0,	,0.2519212115272533,	,-14
0.063328125,	,0,	,0.2519212115272533,	,-14
0.063328125,	,0,	,0.2519212115272533,	,-14
0.0714140625,	,0,	,0.2519212115272533,	,-14
0.0714140625,	,0,	,0.2519212115272533,	,-15
0.0714140625,	,0,	,0.2519212115272533,	,-15
0.0714140625,	,0,	,0.2519212115272533,	,-15
0.0714140625,	,0,	,0.263254145766198,	,-15
0.0714140625,	,0,	,0.263254145766198,	,-15
0.0714140625,	,0,	,0.263254145766198,	,-16
0.0714140625,	,0,	,0.263254145766198,	,-16
0.079416875,	,0,	,0.263254145766198,	,-16
0.079416875,	,0,	,0.263254145766198,	,-16
0.079416875,	,0,	,0.263254145766198,	,-16
0.079416875,	,0,	,0.263254145766198,	,-17
0.079416875,	,0,	,0.263254145766198,	,-17
0.079416875,	,0,	,0.263254145766198,	,-17
0.079416875,	,0,	,0.263254145766198,	,-17
0.079416875,	,0,	,0.27504115955511216,	,-17
0.0873059375,	,0,	,0.27504115955511216,	,-18
0.0873059375,	,0,	,0.27504115955511216,	,-18
0.0873059375,	,0,	,0.27504115955511216,	,-18
0.0873059375,	,0,	,0.27504115955511216,	,-18
0.0873059375,	,0,	,0.27504115955511216,	,-18
0.0873059375,	,0,	,0.27504115955511216,	,-19
0.0873059375,	,0,	,0.27504115955511216,	,-19
0.0873059375,	,0,	,0.27504115955511216,	,-19
0.0954290625,	,0,	,0.27504115955511216,	,-19
0.0954290625,	,0,	,0.3050446653522474,	,-19
0.0954290625,	,0,	,0.3050446653522474,	,-20
0.0954290625,	,0,	,0.3050446653522474,	,-20
0.0954290625,	,0,	,0.3050446653522474,	,-20
0.0954290625,	,0,	,0.3050446653522474,	,-20
0.0954290625,	,0,	,0.3050446653522474,	,-20
0.0954290625,	,0,	,0.3050446653522474,	,-20
0.1034278125,	,0,	,0.3050446653522474,	,-21
0.1034278125,	,0,	,0.3050446653522474,	,-21
0.1034278125,	,0,	,0.3050446653522474,	,-21
0.1034278125,	,0,	,0.3050446653522474,	,-21
0.1034278125,	,0,	,0.2992670964181776,	,-21
0.1034278125,	,0,	,0.2992670964181776,	,-22
0.1034278125,	,0,	,0.2992670964181776,	,-22
0.1034278125,	,0,	,0.2992670964181776,	,-22
0.111436875,	,0,	,0.2992670964181776,	,-22
0.111436875,	,0,	,0.2992670964181776,	,-22
0.111436875,	,0,	,0.2992670964181776,	,-22
