Time,	,RPM,	,Position,	,RPMDifferent,	,AnalogOutput
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,0.15707962234406397,	,0.0
0.0,	,0.0,	,0,	,0.31415918267558096,	,0.0
0.0,	,0.0,	,0,	,0.4712386189820279,	,0.0
0.00636125,	,0.0,	,0,	,0.62831786925093203,	,0.0
0.00636125,	,0.0,	,0,	,0.7853968714698909,	,0.0
0.00636125,	,0.0,	,0,	,0.94247556362660301,	,0.0
0.00636125,	,0.0,	,0,	,1.0995538837088898,	,0.0
0.00636125,	,0.0,	,0,	,1.25663176970472,	,0.0
0.00636125,	,0.0,	,0,	,1.41370915960222,	,0.0
0.00636125,	,0.0,	,0,	,1.5707859913897402,	,0.0
0.00636125,	,0.0,	,0,	,1.7278622030558202,	,0.033480182542162062
0.0143640625,	,0.0,	,0,	,1.8849377325892698,	,0.033480182542162062
0.0143640625,	,0.0,	,0,	,2.0420125179791602,	,0.033480182542162062
0.0143640625,	,0.0,	,0,	,2.1990864972148398,	,0.033480182542162062
0.0143640625,	,0.0,	,0,	,2.3561596082859997,	,0.033480182542162062
0.0143640625,	,0.0,	,0,	,2.5132317891826603,	,0.033480182542162062
0.0143640625,	,0.0,	,0,	,2.6703029778952203,	,0.033480182542162062
0.0143640625,	,0.0,	,0,	,2.8273731124144401,	,0.033480182542162062
0.022308125,	,0.0,	,0,	,2.9844421307315403,	,0.033480182542162062
0.022308125,	,0.0,	,0,	,3.14150997083815,	,0.033480182542162062
0.022308125,	,0.0,	,0,	,3.2985765707263797,	,0.048365759204994432
0.022308125,	,0.0,	,0,	,3.4556418683888102,	,0.048365759204994432
0.022308125,	,0.0,	,0,	,3.6127058018185596,	,0.048365759204994432
0.022308125,	,0.0,	,0,	,3.7697683090092795,	,0.048365759204994432
0.022308125,	,0.0,	,0,	,3.9268293279551698,	,0.048365759204994432
0.030313125,	,0.0,	,0,	,4.0838887966510296,	,0.048365759204994432
0.030313125,	,0.0,	,0,	,4.2409466530922701,	,0.048365759204994432
0.030313125,	,0.0,	,0,	,4.3980028352749301,	,0.048365759204994432
0.030313125,	,0.0,	,0,	,4.5550572811957304,	,0.048365759204994432
0.030313125,	,0.0,	,0,	,4.7121099288520405,	,0.048365759204994432
0.030313125,	,0.0,	,0,	,4.8691607162419901,	,0.065147535765660208
