Time,	,RPM,	,Position,	,RPMDifferent,	,AnalogOutput
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0069409375,	,0.0,	,0,	,-0.0,	,0.0
0.0069409375,	,0.0,	,0,	,-0.0,	,0.0
0.0069409375,	,0.0,	,0,	,-0.0,	,0.0
0.0069409375,	,0.0,	,0,	,-0.0,	,0.0
0.0069409375,	,0.0,	,0,	,-0.0,	,0.0
0.0069409375,	,0.0,	,0,	,-0.0,	,0.0
0.0069409375,	,0.0,	,0,	,-0.0,	,0.0
0.0069409375,	,0.0,	,0,	,-0.0,	,0.0
0.01492,	,0.0,	,0,	,-0.0,	,0.0
0.01492,	,0.0,	,0,	,-0.0,	,0.0
0.01492,	,0.0,	,0,	,-0.0,	,0.0
0.01492,	,0.0,	,0,	,-0.0,	,0.0
0.01492,	,0.0,	,0,	,-0.0,	,0.0
0.01492,	,0.0,	,0,	,-0.0,	,0.0
0.01492,	,0.0,	,0,	,-0.0,	,0.0
0.01492,	,0.0,	,0,	,-0.0,	,0.0
0.02311125,	,0.0,	,0,	,-0.0,	,0.0
0.02311125,	,0.0,	,0,	,-0.0,	,0.0
0.02311125,	,0.0,	,0,	,-0.0,	,0.0
0.02311125,	,0.0,	,0,	,-0.0,	,0.0
0.02311125,	,0.0,	,0,	,-0.0,	,0.0
0.02311125,	,0.0,	,0,	,-0.0,	,0.0
0.02311125,	,0.0,	,0,	,-0.0,	,0.0
0.02311125,	,0.0,	,0,	,-0.0,	,0.0
0.03100625,	,0.0,	,0,	,-0.0,	,0.0
0.03100625,	,0.0,	,0,	,-0.0,	,0.0
0.03100625,	,0.0,	,0,	,-0.0,	,0.0
0.03100625,	,0.0,	,0,	,-0.0,	,0.0
0.03100625,	,0.0,	,0,	,-0.0,	,0.0
0.03100625,	,0.0,	,0,	,-0.0,	,0.0
0.03100625,	,0.0,	,0,	,-0.0,	,0.0
0.0391121875,	,0.0,	,0,	,-0.0,	,0.0
0.0391121875,	,0.0,	,0,	,-0.0,	,0.0
0.0391121875,	,0.0,	,0,	,-0.0,	,0.0
0.0391121875,	,0.0,	,0,	,-0.0,	,0.0
0.0391121875,	,0.0,	,0,	,-0.0,	,0.0
0.0391121875,	,0.0,	,0,	,-0.0,	,0.0
0.0391121875,	,0.0,	,0,	,-0.0,	,0.0
0.0391121875,	,0.0,	,0,	,-0.0,	,0.0
0.0471128125,	,0.0,	,0,	,-0.0,	,0.0
0.0471128125,	,0.0,	,0,	,-0.0,	,0.0
0.0471128125,	,0.0,	,0,	,-0.0,	,0.0
0.0471128125,	,0.0,	,0,	,-0.0,	,0.0
0.0471128125,	,0.0,	,0,	,-0.0,	,0.0
0.0471128125,	,0.0,	,0,	,-0.0,	,0.0
0.0471128125,	,0.0,	,0,	,-0.0,	,0.0
0.0471128125,	,0.0,	,0,	,-0.0,	,0.0
0.055015,	,0.0,	,0,	,-0.0,	,0.0
0.055015,	,0.0,	,0,	,-0.0,	,0.0
0.055015,	,0.0,	,0,	,-0.0,	,0.0
0.055015,	,0.0,	,0,	,-0.0,	,0.0
0.055015,	,0.0,	,0,	,-0.0,	,0.0
0.055015,	,0.0,	,0,	,-0.0,	,0.0
0.055015,	,0.0,	,0,	,-0.0,	,0.0
0.0631490625,	,0.0,	,0,	,-0.0,	,0.0
0.0631490625,	,0.0,	,0,	,-0.0,	,0.0
0.0631490625,	,0.0,	,0,	,-0.0,	,0.0
0.0631490625,	,0.0,	,0,	,-0.0,	,0.0
0.0631490625,	,0.0,	,0,	,-0.0,	,0.0
0.0631490625,	,0.0,	,0,	,-0.0,	,0.0
0.0631490625,	,0.0,	,0,	,-0.0,	,0.0
0.0631490625,	,0.0,	,0,	,-0.0,	,0.0
0.07114,	,0.0,	,0,	,-0.0,	,0.0
0.07114,	,0.0,	,0,	,-0.0,	,0.0
0.07114,	,0.0,	,0,	,-0.0,	,0.0
0.07114,	,0.0,	,0,	,-0.0,	,0.0
0.07114,	,0.0,	,0,	,-0.0,	,0.0
0.07114,	,0.0,	,0,	,-0.0,	,0.0
0.07114,	,0.0,	,0,	,-0.0,	,0.0
0.07114,	,0.0,	,0,	,-0.0,	,0.0
0.07898625,	,0.0,	,0,	,-0.0,	,0.0
0.07898625,	,0.0,	,0,	,-0.0,	,0.0
0.07898625,	,0.0,	,0,	,-0.0,	,0.0
0.07898625,	,0.0,	,0,	,-0.0,	,0.0
0.07898625,	,0.0,	,0,	,-0.0,	,0.0
0.07898625,	,0.0,	,0,	,-0.0,	,0.0
0.07898625,	,0.0,	,0,	,-0.0,	,0.0
0.0871540625,	,0.0,	,0,	,-0.0,	,0.0
0.0871540625,	,0.0,	,0,	,-0.0,	,0.0
0.0871540625,	,0.0,	,0,	,-0.0,	,0.0
0.0871540625,	,0.0,	,0,	,-0.0,	,0.0
0.0871540625,	,0.0,	,0,	,-0.0,	,0.0
0.0871540625,	,0.0,	,0,	,-0.0,	,0.0
0.0871540625,	,0.0,	,0,	,-0.0,	,0.0
0.0871540625,	,0.0,	,0,	,-0.0,	,0.0
0.0951471875,	,0.0,	,0,	,-0.0,	,0.0
0.0951471875,	,0.0,	,0,	,-0.0,	,0.0
0.0951471875,	,0.0,	,0,	,-0.0,	,0.0
0.0951471875,	,0.0,	,0,	,-0.0,	,0.0
0.0951471875,	,0.0,	,0,	,-0.0,	,0.0
0.0951471875,	,0.0,	,0,	,-0.0,	,0.0
0.0951471875,	,0.0,	,0,	,-0.0,	,0.0
0.0951471875,	,0.0,	,0,	,-0.0,	,0.0
0.1032340625,	,0.0,	,0,	,-0.0,	,0.0
0.1032340625,	,0.0,	,0,	,-0.0,	,0.0
0.1032340625,	,0.0,	,0,	,-0.0,	,0.0
0.1032340625,	,0.0,	,0,	,-0.0,	,0.0
0.1032340625,	,0.0,	,0,	,-0.0,	,0.0
0.1032340625,	,0.0,	,0,	,-0.0,	,0.0
0.1032340625,	,0.0,	,0,	,-0.0,	,0.0
0.1032340625,	,0.0,	,0,	,-0.0,	,0.0
0.111145,	,0.0,	,0,	,-0.0,	,0.0
0.111145,	,0.0,	,0,	,-0.0,	,0.0
0.111145,	,0.0,	,0,	,-0.0,	,0.0
0.111145,	,0.0,	,0,	,-0.0,	,0.0
0.111145,	,0.0,	,0,	,-0.0,	,0.0
0.111145,	,0.0,	,0,	,-0.0,	,0.0
0.111145,	,0.0,	,0,	,-0.0,	,0.0
0.111145,	,0.0,	,0,	,-0.0,	,0.0
0.11905,	,0.0,	,0,	,-0.0,	,0.0
0.11905,	,0.0,	,0,	,-0.0,	,0.0
0.11905,	,0.0,	,0,	,-0.0,	,0.0
0.11905,	,0.0,	,0,	,-0.0,	,0.0
0.11905,	,0.0,	,0,	,-0.0,	,0.0
0.11905,	,0.0,	,0,	,-0.0,	,0.0
0.11905,	,0.0,	,0,	,-0.0,	,0.0
0.127185,	,0.0,	,0,	,-0.0,	,0.0
0.127185,	,0.0,	,0,	,-0.0,	,0.0
0.127185,	,0.0,	,0,	,-0.0,	,0.0
0.127185,	,0.0,	,0,	,-0.0,	,0.0
0.127185,	,0.0,	,0,	,-0.0,	,0.0
0.127185,	,0.0,	,0,	,-0.0,	,0.0
0.127185,	,0.0,	,0,	,-0.0,	,0.0
0.127185,	,0.0,	,0,	,-0.0,	,0.0
0.135178125,	,0.0,	,0,	,-0.0,	,0.0
0.135178125,	,0.0,	,0,	,-0.0,	,0.0
0.135178125,	,0.0,	,0,	,-0.0,	,0.0
0.135178125,	,0.0,	,0,	,-0.0,	,0.0
0.135178125,	,0.0,	,0,	,-0.0,	,0.0
0.135178125,	,0.0,	,0,	,-0.0,	,0.0
0.135178125,	,0.0,	,0,	,-0.0,	,0.0
0.135178125,	,0.0,	,0,	,-0.0,	,0.0
0.143008125,	,0.0,	,0,	,-0.0,	,0.0
0.143008125,	,0.0,	,0,	,-0.0,	,0.0
0.143008125,	,0.0,	,0,	,-0.0,	,0.0
0.143008125,	,0.0,	,0,	,-0.0,	,0.0
0.143008125,	,0.0,	,0,	,-0.0,	,0.0
0.143008125,	,0.0,	,0,	,-0.0,	,0.0
0.143008125,	,0.0,	,0,	,-0.0,	,0.0
0.1510140625,	,0.0,	,0,	,-0.0,	,0.0
0.1510140625,	,0.0,	,0,	,-0.0,	,0.0
0.1510140625,	,0.0,	,0,	,-0.0,	,0.0
0.1510140625,	,0.0,	,0,	,-0.0,	,0.0
0.1510140625,	,0.0,	,0,	,-0.0,	,0.0
0.1510140625,	,0.0,	,0,	,-0.0,	,0.0
0.1510140625,	,0.0,	,0,	,-0.0,	,0.0
0.159178125,	,0.0,	,0,	,-0.0,	,0.0
0.159178125,	,0.0,	,0,	,-0.0,	,0.0
0.159178125,	,0.0,	,0,	,-0.0,	,0.0
0.159178125,	,0.0,	,0,	,-0.0,	,0.0
0.159178125,	,0.0,	,0,	,-0.0,	,0.0
0.159178125,	,0.0,	,0,	,-0.0,	,0.0
0.159178125,	,0.0,	,0,	,-0.0,	,0.0
0.159178125,	,0.0,	,0,	,-0.0,	,0.0
0.167135,	,0.0,	,0,	,-0.0,	,0.0
0.167135,	,0.0,	,0,	,-0.0,	,0.0
0.167135,	,0.0,	,0,	,-0.0,	,0.0
0.167135,	,0.0,	,0,	,-0.0,	,0.0
0.167135,	,0.0,	,0,	,-0.0,	,0.0
0.167135,	,0.0,	,0,	,-0.0,	,0.0
0.167135,	,0.0,	,0,	,-0.0,	,0.0
0.167135,	,0.0,	,0,	,-0.0,	,0.0
0.1750709375,	,0.0,	,0,	,-0.0,	,0.0
0.1750709375,	,0.0,	,0,	,-0.0,	,0.0
0.1750709375,	,0.0,	,0,	,-0.0,	,0.0
0.1750709375,	,0.0,	,0,	,-0.0,	,0.0
0.1750709375,	,0.0,	,0,	,-0.0,	,0.0
0.1750709375,	,0.0,	,0,	,-0.0,	,0.0
0.1750709375,	,0.0,	,0,	,-0.0,	,0.0
0.183033125,	,0.0,	,0,	,-0.0,	,0.0
0.183033125,	,0.0,	,0,	,-0.0,	,0.0
0.183033125,	,0.0,	,0,	,-0.0,	,0.0
0.183033125,	,0.0,	,0,	,-0.0,	,0.0
0.183033125,	,0.0,	,0,	,-0.0,	,0.0
0.183033125,	,0.0,	,0,	,-0.0,	,0.0
0.183033125,	,0.0,	,0,	,-0.0,	,0.0
0.19117,	,0.0,	,0,	,-0.0,	,0.0
0.19117,	,0.0,	,0,	,-0.0,	,0.0
0.19117,	,0.0,	,0,	,-0.0,	,0.0
0.19117,	,0.0,	,0,	,-0.0,	,0.0
0.19117,	,0.0,	,0,	,-0.0,	,0.0
0.19117,	,0.0,	,0,	,-0.0,	,0.0
0.19117,	,0.0,	,0,	,-0.0,	,0.0
0.199178125,	,0.0,	,0,	,-0.0,	,0.0
0.199178125,	,0.0,	,0,	,-0.0,	,0.0
0.199178125,	,0.0,	,0,	,-0.0,	,0.0
0.199178125,	,0.0,	,0,	,-0.0,	,0.0
0.199178125,	,0.0,	,0,	,-0.0,	,0.0
0.199178125,	,0.0,	,0,	,-0.0,	,0.0
0.199178125,	,0.0,	,0,	,-0.0,	,0.0
0.207153125,	,0.0,	,0,	,-0.0,	,0.0
