Time,	,RPM,	,Position,	,RPMDifferent,	,AnalogOutput
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,0.31415719827794802,	,0.0
0.0,	,0.0,	,0,	,0.62830199416763,	,0.0
0.0,	,0.0,	,0,	,0.94242198577040914,	,0.0
0.0,	,0.0,	,0,	,1.2565047721668701,	,0.0
0.0072340625,	,0.0,	,0,	,1.5705379539064099,	,0.0
0.0072340625,	,0.0,	,0,	,1.8845091334967301,	,0.0
0.0072340625,	,0.0,	,0,	,2.1984059158932503,	,0.0
0.0072340625,	,0.0,	,0,	,2.5122159089884799,	,0.0
0.0072340625,	,0.0,	,0,	,2.82592672410123,	,0.0
0.0072340625,	,0.0,	,0,	,3.13952597646567,	,0.3499028116453563
0.0072340625,	,0.0,	,0,	,3.4530012857202901,	,0.3499028116453563
0.0161809375,	,0.0,	,0,	,3.7663402763966398,	,0.3499028116453563
0.0161809375,	,0.0,	,0,	,4.0795305784078799,	,0.3499028116453563
0.0161809375,	,0.0,	,0,	,4.39255982753716,	,0.3499028116453563
0.0161809375,	,0.0,	,0,	,4.7054156659257194,	,0.3499028116453563
0.0161809375,	,0.0,	,0,	,5.0180857425607499,	,0.3499028116453563
0.0161809375,	,0.0,	,0,	,5.3305577137629996,	,0.3499028116453563
0.0161809375,	,0.0,	,0,	,5.64281924367409,	,0.3499028116453563
0.0233090625,	,0.0,	,0,	,5.9548580047434898,	,0.40117519914068206
0.0233090625,	,0.0,	,0,	,6.2666616782152103,	,0.40117519914068206
0.0233090625,	,0.0,	,0,	,6.5782179546141304,	,0.40117519914068206
0.0233090625,	,0.0,	,0,	,6.8895145342318997,	,0.40117519914068206
0.0233090625,	,0.0,	,0,	,7.2005391276126103,	,0.40117519914068206
0.0233090625,	,0.0,	,0,	,7.5112794560378493,	,0.40117519914068206
0.0233090625,	,0.0,	,0,	,7.8217232520115401,	,0.40117519914068206
0.0233090625,	,0.0,	,0,	,8.1318582597441793,	,0.40117519914068206
0.0311840625,	,0.0,	,0,	,8.4416722356366911,	,0.40117519914068206
0.0311840625,	,0.0,	,0,	,8.7511529487637993,	,0.40117519914068206
0.0311840625,	,0.0,	,0,	,9.060288181356869,	,0.40117519914068206
0.0311840625,	,0.0,	,0,	,9.3690657292862305,	,0.50024048090935003
0.0311840625,	,0.0,	,0,	,9.6774734025430096,	,0.50024048090935003
0.0311840625,	,0.0,	,0,	,9.9854990257203493,	,0.50024048090935003
0.0311840625,	,0.0,	,0,	,10.293130438494099,	,0.50024048090935003
0.0311840625,	,0.0,	,0,	,10.600355496102699,	,0.50024048090935003
0.04018,	,0.0,	,0,	,10.907162069827098,	,0.50024048090935003
0.04018,	,0.0,	,0,	,11.213538047469099,	,0.50024048090935003
0.04018,	,0.0,	,0,	,11.5194713338295,	,0.50024048090935003
0.04018,	,0.0,	,0,	,11.824949851186199,	,0.50024048090935003
0.04018,	,0.0,	,0,	,12.129961539770401,	,0.52184480894439822
0.04018,	,0.0,	,0,	,12.4344943582427,	,0.52184480894439822
0.04018,	,0.0,	,0,	,12.738536284169099,	,0.52184480894439822
0.047188125,	,0.0,	,0,	,13.042075314494801,	,0.52184480894439822
0.047188125,	,0.0,	,0,	,13.345099466018802,	,0.52184480894439822
0.047188125,	,0.0,	,0,	,13.647596775866301,	,0.52184480894439822
0.047188125,	,0.0,	,0,	,13.949555301961501,	,0.52184480894439822
0.047188125,	,0.0,	,0,	,14.250963123498799,	,0.52184480894439822
0.047188125,	,0.0,	,0,	,14.551808341413601,	,0.52184480894439822
0.047188125,	,0.0,	,0,	,14.8520790788517,	,0.52184480894439822
0.054791875,	,0.0,	,0,	,15.151763481638699,	,0.52184480894439822
0.054791875,	,0.0,	,0,	,15.450849718747401,	,0.59072639536257276
0.054791875,	,0.0,	,0,	,15.7493259827652,	,0.59072639536257276
0.054791875,	,0.0,	,0,	,16.0471804903605,	,0.59072639536257276
0.054791875,	,0.0,	,0,	,16.344401482747099,	,0.59072639536257276
0.054791875,	,0.0,	,0,	,16.640977226149303,	,0.59072639536257276
0.054791875,	,0.0,	,0,	,16.936896012264601,	,0.59072639536257276
0.054791875,	,0.0,	,0,	,17.2321461587259,	,0.59072639536257276
0.064198125,	,0.0,	,0,	,17.526716009563,	,0.59072639536257276
0.064198125,	,0.0,	,0,	,17.820593935662501,	,0.59072639536257276
0.064198125,	,0.0,	,0,	,18.113768335227302,	,0.59072639536257276
0.064198125,	,0.0,	,0,	,18.4062276342339,	,0.64397998857336125
0.064198125,	,0.0,	,0,	,18.697960286889998,	,0.64397998857336125
0.064198125,	,0.0,	,0,	,18.988954776090104,	,0.64397998857336125
0.0707290625,	,0.0,	,0,	,19.2791996138698,	,0.64397998857336125
0.0707290625,	,0.0,	,0,	,19.568683341860101,	,0.64397998857336125
0.0707290625,	,0.0,	,0,	,19.857394531739001,	,0.64397998857336125
0.0707290625,	,0.0,	,0,	,20.145321785683102,	,0.64397998857336125
0.0707290625,	,0.0,	,0,	,20.4324537368175,	,0.64397998857336125
