Time,	,RPM,	,Position,	,RPMDifferent,	,AnalogOutput
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.0,	,0.0,	,0,	,-0.0,	,0.0
0.00747875,	,0.0,	,0,	,-0.0,	,0.0
0.00747875,	,0.0,	,0,	,-0.0,	,0.0
0.00747875,	,0.0,	,0,	,-0.0,	,0.0
0.00747875,	,0.0,	,0,	,-0.0,	,0.0
0.00747875,	,0.0,	,0,	,-0.0,	,0.0
0.00747875,	,0.0,	,0,	,-0.0,	,0.0
0.00747875,	,0.0,	,0,	,-0.0,	,0.0
0.00747875,	,0.0,	,0,	,-0.0,	,0.0
0.0155128125,	,0.0,	,0,	,-0.0,	,0.0
0.0155128125,	,0.0,	,0,	,-0.0,	,0.0
0.0155128125,	,0.0,	,0,	,-0.0,	,0.0
0.0155128125,	,0.0,	,0,	,-0.0,	,0.0
0.0155128125,	,0.0,	,0,	,-0.0,	,0.0
0.0155128125,	,0.0,	,0,	,-0.0,	,0.0
0.0155128125,	,0.0,	,0,	,-0.0,	,0.0
0.0155128125,	,0.0,	,0,	,-0.0,	,0.0
0.023420625,	,0.0,	,0,	,-0.0,	,0.0
0.023420625,	,0.0,	,0,	,-0.0,	,0.0
0.023420625,	,0.0,	,0,	,-0.0,	,0.0
0.023420625,	,0.0,	,0,	,-0.0,	,0.0
0.023420625,	,0.0,	,0,	,-0.0,	,0.0
0.023420625,	,0.0,	,0,	,-0.0,	,0.0
0.023420625,	,0.0,	,0,	,-0.0,	,0.0
0.032166875,	,0.0,	,0,	,-0.0,	,0.0
0.032166875,	,0.0,	,0,	,-0.0,	,0.0
0.032166875,	,0.0,	,0,	,-0.0,	,0.0
0.032166875,	,0.0,	,0,	,-0.0,	,0.0
0.032166875,	,0.0,	,0,	,-0.0,	,0.0
0.032166875,	,0.0,	,0,	,-0.0,	,0.0
0.039506875,	,0.0,	,0,	,-0.0,	,0.0
0.039506875,	,0.0,	,0,	,-0.0,	,0.0
0.039506875,	,0.0,	,0,	,-0.0,	,0.0
0.039506875,	,0.0,	,0,	,-0.0,	,0.0
0.039506875,	,0.0,	,0,	,-0.0,	,0.0
0.039506875,	,0.0,	,0,	,-0.0,	,0.0
0.0473859375,	,0.0,	,0,	,-0.0,	,0.0
0.0473859375,	,0.0,	,0,	,-0.0,	,0.0
0.0473859375,	,0.0,	,0,	,-0.0,	,0.0
0.0473859375,	,0.0,	,0,	,-0.0,	,0.0
0.0473859375,	,0.0,	,0,	,-0.0,	,0.0
0.0473859375,	,0.0,	,0,	,-0.0,	,0.0
0.0473859375,	,0.0,	,0,	,-0.0,	,0.0
0.0473859375,	,0.0,	,0,	,-0.0,	,0.0
0.05545,	,0.0,	,0,	,-0.0,	,0.0
0.05545,	,0.0,	,0,	,-0.0,	,0.0
0.05545,	,0.0,	,0,	,-0.0,	,0.0
0.05545,	,0.0,	,0,	,-0.0,	,0.0
0.05545,	,0.0,	,0,	,-0.0,	,0.0
0.05545,	,0.0,	,0,	,-0.0,	,0.0
0.05545,	,0.0,	,0,	,-0.0,	,0.0
0.05545,	,0.0,	,0,	,-0.0,	,0.0
0.0633828125,	,0.0,	,0,	,-0.0,	,0.0
0.0633828125,	,0.0,	,0,	,-0.0,	,0.0
0.0633828125,	,0.0,	,0,	,-0.0,	,0.0
0.0633828125,	,0.0,	,0,	,-0.0,	,0.0
0.0633828125,	,0.0,	,0,	,-0.0,	,0.0
0.0633828125,	,0.0,	,0,	,-0.0,	,0.0
0.0633828125,	,0.0,	,0,	,-0.0,	,0.0
0.0633828125,	,0.0,	,0,	,-0.0,	,0.0
0.0714190625,	,0.0,	,0,	,-0.0,	,0.0
0.0714190625,	,0.0,	,0,	,-0.0,	,0.0
0.0714190625,	,0.0,	,0,	,-0.0,	,0.0
0.0714190625,	,0.0,	,0,	,-0.0,	,0.0
0.0714190625,	,0.0,	,0,	,-0.0,	,0.0
0.0714190625,	,0.0,	,0,	,-0.0,	,0.0
0.0714190625,	,0.0,	,0,	,-0.0,	,0.0
0.07937375,	,0.0,	,0,	,-0.0,	,0.0
0.07937375,	,0.0,	,0,	,-0.0,	,0.0
0.07937375,	,0.0,	,0,	,-0.0,	,0.0
0.07937375,	,0.0,	,0,	,-0.0,	,0.0
0.07937375,	,0.0,	,0,	,-0.0,	,0.0
0.07937375,	,0.0,	,0,	,-0.0,	,0.0
0.07937375,	,0.0,	,0,	,-0.0,	,0.0
0.07937375,	,0.0,	,0,	,-0.0,	,0.0
0.087376875,	,0.0,	,0,	,-0.0,	,0.0
0.087376875,	,0.0,	,0,	,-0.0,	,0.0
0.087376875,	,0.0,	,0,	,-0.0,	,0.0
0.087376875,	,0.0,	,0,	,-0.0,	,0.0
0.087376875,	,0.0,	,0,	,-0.0,	,0.0
0.087376875,	,0.0,	,0,	,-0.0,	,0.0
0.087376875,	,0.0,	,0,	,-0.0,	,0.0
0.09543375,	,0.0,	,0,	,-0.0,	,0.0
0.09543375,	,0.0,	,0,	,-0.0,	,0.0
0.09543375,	,0.0,	,0,	,-0.0,	,0.0
0.09543375,	,0.0,	,0,	,-0.0,	,0.0
0.09543375,	,0.0,	,0,	,-0.0,	,0.0
0.09543375,	,0.0,	,0,	,-0.0,	,0.0
0.1034865625,	,0.0,	,0,	,-0.0,	,0.0
0.1034865625,	,0.0,	,0,	,-0.0,	,0.0
0.1034865625,	,0.0,	,0,	,-0.0,	,0.0
0.1034865625,	,0.0,	,0,	,-0.0,	,0.0
0.1034865625,	,0.0,	,0,	,-0.0,	,0.0
0.1034865625,	,0.0,	,0,	,-0.0,	,0.0
0.1034865625,	,0.0,	,0,	,-0.0,	,0.0
0.111445,	,0.0,	,0,	,-0.0,	,0.0
0.111445,	,0.0,	,0,	,-0.0,	,0.0
0.111445,	,0.0,	,0,	,-0.0,	,0.0
0.111445,	,0.0,	,0,	,-0.0,	,0.0
0.111445,	,0.0,	,0,	,-0.0,	,0.0
0.111445,	,0.0,	,0,	,-0.0,	,0.0
0.111445,	,0.0,	,0,	,-0.0,	,0.0
0.111445,	,0.0,	,0,	,-0.0,	,0.0
0.11941375,	,0.0,	,0,	,-0.0,	,0.0
0.11941375,	,0.0,	,0,	,-0.0,	,0.0
0.11941375,	,0.0,	,0,	,-0.0,	,0.0
0.11941375,	,0.0,	,0,	,-0.0,	,0.0
0.11941375,	,0.0,	,0,	,-0.0,	,0.0
0.11941375,	,0.0,	,0,	,-0.0,	,0.0
0.11941375,	,0.0,	,0,	,-0.0,	,0.0
0.127481875,	,0.0,	,0,	,-0.0,	,0.0
0.127481875,	,0.0,	,0,	,-0.0,	,0.0
0.127481875,	,0.0,	,0,	,-0.0,	,0.0
0.127481875,	,0.0,	,0,	,-0.0,	,0.0
0.127481875,	,0.0,	,0,	,-0.0,	,0.0
0.127481875,	,0.0,	,0,	,-0.0,	,0.0
0.127481875,	,0.0,	,0,	,-0.0,	,0.0
0.127481875,	,0.0,	,0,	,-0.0,	,0.0
0.135501875,	,0.0,	,0,	,-0.0,	,0.0
0.135501875,	,0.0,	,0,	,-0.0,	,0.0
0.135501875,	,0.0,	,0,	,-0.0,	,0.0
0.135501875,	,0.0,	,0,	,-0.0,	,0.0
0.135501875,	,0.0,	,0,	,-0.0,	,0.0
0.135501875,	,0.0,	,0,	,-0.0,	,0.0
0.135501875,	,0.0,	,0,	,-0.0,	,0.0
0.135501875,	,0.0,	,0,	,-0.0,	,0.0
0.1434659375,	,0.0,	,0,	,-0.0,	,0.0
0.1434659375,	,0.0,	,0,	,-0.0,	,0.0
0.1434659375,	,0.0,	,0,	,-0.0,	,0.0
0.1434659375,	,0.0,	,0,	,-0.0,	,0.0
0.1434659375,	,0.0,	,0,	,-0.0,	,0.0
0.1434659375,	,0.0,	,0,	,-0.0,	,0.0
0.1434659375,	,0.0,	,0,	,-0.0,	,0.0
0.151451875,	,0.0,	,0,	,-0.0,	,0.0
0.151451875,	,0.0,	,0,	,-0.0,	,0.0
0.151451875,	,0.0,	,0,	,-0.0,	,0.0
0.151451875,	,0.0,	,0,	,-0.0,	,0.0
0.151451875,	,0.0,	,0,	,-0.0,	,0.0
0.151451875,	,0.0,	,0,	,-0.0,	,0.0
0.151451875,	,0.0,	,0,	,-0.0,	,0.0
0.151451875,	,0.0,	,0,	,-0.0,	,0.0
0.151451875,	,0.0,	,0,	,-0.0,	,0.0
0.16011375,	,0.0,	,0,	,-0.0,	,0.0
0.16011375,	,0.0,	,0,	,-0.0,	,0.0
0.16011375,	,0.0,	,0,	,-0.0,	,0.0
0.16011375,	,0.0,	,0,	,-0.0,	,0.0
0.16011375,	,0.0,	,0,	,-0.0,	,0.0
0.16011375,	,0.0,	,0,	,-0.0,	,0.0
0.16011375,	,0.0,	,0,	,-0.0,	,0.0
0.1674878125,	,0.0,	,0,	,-0.0,	,0.0
0.1674878125,	,0.0,	,0,	,-0.0,	,0.0
0.1674878125,	,0.0,	,0,	,-0.0,	,0.0
0.1674878125,	,0.0,	,0,	,-0.0,	,0.0
0.1674878125,	,0.0,	,0,	,-0.0,	,0.0
0.1674878125,	,0.0,	,0,	,-0.0,	,0.0
0.1674878125,	,0.0,	,0,	,-0.0,	,0.0
0.175551875,	,0.0,	,0,	,-0.0,	,0.0
0.175551875,	,0.0,	,0,	,-0.0,	,0.0
0.175551875,	,0.0,	,0,	,-0.0,	,0.0
0.175551875,	,0.0,	,0,	,-0.0,	,0.0
0.18368875,	,0.0,	,0,	,-0.0,	,0.0
0.18368875,	,0.0,	,0,	,-0.0,	,0.0
0.18368875,	,0.0,	,0,	,-0.0,	,0.0
0.18368875,	,0.0,	,0,	,-0.0,	,0.0
0.18368875,	,0.0,	,0,	,-0.0,	,0.0
0.19316375,	,0.0,	,0,	,-0.0,	,0.0
0.19316375,	,0.0,	,0,	,-0.0,	,0.0
0.19316375,	,0.0,	,0,	,-0.0,	,0.0
0.19316375,	,0.0,	,0,	,-0.0,	,0.0
0.19316375,	,0.0,	,0,	,-0.0,	,0.0
0.199606875,	,0.0,	,0,	,-0.0,	,0.0
0.199606875,	,0.0,	,0,	,-0.0,	,0.0
0.199606875,	,0.0,	,0,	,-0.0,	,0.0
0.199606875,	,0.0,	,0,	,-0.0,	,0.0
0.199606875,	,0.0,	,0,	,-0.0,	,0.0
0.199606875,	,0.0,	,0,	,-0.0,	,0.0
0.2075509375,	,0.0,	,0,	,-0.0,	,0.0
0.2075509375,	,0.0,	,0,	,-0.0,	,0.0
0.2075509375,	,0.0,	,0,	,-0.0,	,0.0
0.2075509375,	,0.0,	,0,	,-0.0,	,0.0
0.2075509375,	,0.0,	,0,	,-0.0,	,0.0
0.2075509375,	,0.0,	,0,	,-0.0,	,0.0
0.2075509375,	,0.0,	,0,	,-0.0,	,0.0
0.21540375,	,0.0,	,0,	,-0.0,	,0.0
0.21540375,	,0.0,	,0,	,-0.0,	,0.0
0.21540375,	,0.0,	,0,	,-0.0,	,0.0
0.21540375,	,0.0,	,0,	,-0.0,	,0.0
0.21540375,	,0.0,	,0,	,-0.0,	,0.0
0.21540375,	,0.0,	,0,	,-0.0,	,0.0
0.21540375,	,0.0,	,0,	,-0.0,	,0.0
0.223475,	,0.0,	,0,	,-0.0,	,0.0
